nct_id,brief_title,criterion_1_tgd,criterion_2_gaht,ai_triage,ai_triage_reason,confidence,human_decision_existing
NCT00023543,Reduction of Triglycerides in Women on Hormone Replacement Therapy,no,no,obvious_exclude,No explicit TGD population; study evaluates postmenopausal hormone therapy in cisgender women.,high,exclude
NCT00082082,A Trial of Thymalfasin in Adult Patients With Hepatocellular Carcinoma,no,no,obvious_exclude,No explicit TGD population; study evaluates contraceptive efficacy/safety in cisgender women.,high,exclude
NCT00146146,Testosterone and Its Metabolites in GID,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,include
NCT00188708,Effect of Casodex on Tumour Hypoxia - Prostate Cancer,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,exclude
NCT00450749,Lycopene in Treating Patients Undergoing Radical Prostatectomy for Prostate Cancer,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,exclude
NCT00544882,A Study to Evaluate Hormone Patterns and Ovarian Follicular Activity With DR-1021,no,no,obvious_exclude,No explicit TGD population; study evaluates contraceptive efficacy/safety in cisgender women.,high,exclude
NCT00608400,Effect of Dietary Conjugated Linoleic Acid (CLA) on Parathyroid Hormone in Men,no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,exclude
NCT00668603,Comparison of Vascular Findings Between Symptomatic and Asymptomatic Postmenopausal Women Before and During Hormone Therapy (HRT),no,no,obvious_exclude,No explicit TGD population; study evaluates postmenopausal hormone therapy in cisgender women.,high,
NCT00684606,Transcervical Foley Catheter With or Without Oxytocin for Induction of Labor,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT00705796,Influence of Administration Route of Testosterone on Male Fertility,no,no,obvious_exclude,No explicit TGD population; study evaluates testosterone in male hypogonadism.,high,
NCT00711607,"A Trial to Assess the Pharmacokinetic Profile (e.g., Uptake, Distribution and Excretion of a Substance in the Body) of Nomegestrol Acetate (NOMAC), Estradiol (E2) and Estrone (E1) After Multiple and Single Dose Administration of the Combined Oral Contraception NOMAC-E2 (COMPLETED)(P05822)",no,no,obvious_exclude,No explicit TGD population; study evaluates contraceptive efficacy/safety in cisgender women.,high,
NCT00766857,Effects of Exenatide in Type 2 Diabetic Patients With Congestive Heart Failure,no,no,obvious_exclude,No explicit TGD population; study evaluates postmenopausal hormone therapy in cisgender women.,high,
NCT00789607,Fiducial Localization and Individualized Radiotherapy -Prostate Cancer,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT00805701,Study Assessing The Efficacy And Safety Of Avodart (Dutasteride) At Improving Urinary Symptoms In Men With Prostate Cancer Who Are Undergoing Seed Implantation,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT00831233,Symptomatic Study Investigating Degarelix in Patients Suffering From Prostate Cancer,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT00833248,Neoadjuvant Study Investigating Degarelix in Patients Suffering From Prostate Cancer,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT00866554,Efficacy and Toxicity of Bicalutamide and Dutasteride vs. Standard Care for Prostate Cytoreduction for Brachytherapy,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT00884273,Investigation of the Effect of Degarelix in Terms of Prostate Volume Reduction in Prostate Cancer Patients,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT00887380,STARS Breast Trial (Study of Anastrozole and Radiotherapy Sequencing),no,no,obvious_exclude,No explicit TGD population; oncology study in breast cancer.,high,
NCT00962637,Study to Evaluate the Safety and Efficacy of Androxal™ Treatment in Men With Secondary Hypogonadism,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
