nct_id,brief_title,study_type,overall_status,start_date,study_first_post_date,enrollment,lead_sponsor,interventions,countries,has_results,preliminary_screening,screening_reason
NCT00789607,Fiducial Localization and Individualized Radiotherapy -Prostate Cancer,INTERVENTIONAL,COMPLETED,2008-06,2008-11-13,17,"University Health Network, Toronto",Transrectal APT Device or Transperineal Device will be used; TRUS probe,Canada,False,exclude,Oncology indication not related to transgender health
NCT03593317,Blockade of the Renin-angiotensin-aldosterone System in Patients With ARVD,INTERVENTIONAL,RECRUITING,2024-12-20,2018-07-20,120,Hospices Civils de Lyon,Spironolactone; Placebo,France,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT00188708,Effect of Casodex on Tumour Hypoxia - Prostate Cancer,INTERVENTIONAL,COMPLETED,2001-04,2005-09-16,30,"University Health Network, Toronto",hypoxia measurement,Canada,False,exclude,Oncology indication not related to transgender health
NCT04371783,A Randomized Trial Comparing the Live Birth Rate of Immediate Versus Delayed FET Following a Freeze-all Strategy,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2020-05-04,2020-05-01,828,ShangHai Ji Ai Genetics & IVF Institute,Immediate FET; Delayed FET,China,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04361175,Cost Effectiveness Analysis for Induction of Ovulation in the Polycystic Ovary Syndrome by Letrozole Versus Clomiphene Citrate,INTERVENTIONAL,UNKNOWN,2021-03,2020-04-24,212,Assiut University,Letrozole; Clomiphine Citrate,,False,exclude,Cisgender/unrelated indication
NCT06656676,WePrEP: Developing a PrEP Shared Decision-making Tool for Transgender Women,INTERVENTIONAL,RECRUITING,2025-01-29,2024-10-24,75,"University of Colorado, Denver",WePrEP: A shared decision-making tool; Active comparator: CDC recommendations for discussing PrEP,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04482920,Effect of Hormone Therapy on Renal Function,OBSERVATIONAL,COMPLETED,2021-04-15,2020-07-23,22,"University of Colorado, Denver",p-aminohippurate clearance study; Iohexol infusion,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT01720459,Effects of Micronized Trans-resveratrol Treatment on Polycystic Ovary Syndrome (PCOS) Patients,INTERVENTIONAL,UNKNOWN,2012-12,2012-11-02,40,Poznan University of Medical Sciences,Micronized trans-resveratrol; Placebo,Poland,False,exclude,Cisgender/unrelated indication
NCT07516691,Evaluation of a New Strategy to Approach the Transgender Sex Worker Populations and Their Clients for Access to a Preventive Sexual Health System Through the ORTIF Digital Teleconsultation Solution,OBSERVATIONAL,NOT_YET_RECRUITING,2026-05-01,2026-04-08,250,Assistance Publique - Hôpitaux de Paris,,France,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT07358897,Gender Affirming Hormone Therapy and Immune Function in Trans Individuals - The GIFT Study,OBSERVATIONAL,NOT_YET_RECRUITING,2026-02-16,2026-01-22,500,Imperial College London,,,False,include,Transgender population and GAHT intervention/exposure identified
NCT06400199,Fertility Preservation for Transfeminine Adolescents Via Semen Cryopreservation or Testicular Sperm Extraction,OBSERVATIONAL,UNKNOWN,2022-07-01,2024-05-06,40,"Amsterdam UMC, location VUmc",,Netherlands,False,include,Transgender population and GAHT intervention/exposure identified
NCT04899193,Pergoveris FD and Liquid China BE Study,INTERVENTIONAL,COMPLETED,2021-05-08,2021-05-24,72,"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany",Pergoveris FD; Pergoveris Liquid; Gonal-f; Luveris,China,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06405243,"Myoinositol, L-arginine and Chromium With Letrozole for Ovulation Induction in Polycystic Ovarian Syndrome Patients",INTERVENTIONAL,UNKNOWN,2024-06-30,2024-05-08,100,Beni-Suef University,Myoinositol; Chromium; l-arginine; Letrozole 2.5mg,Egypt,False,exclude,Cisgender/unrelated indication
NCT04531943,Feminizing Hormone Therapy and the Rectal Mucosa Immune Environment in Transgender Women,OBSERVATIONAL,COMPLETED,2020-10-01,2020-08-31,285,Emory University,Estrogen; Estrogen plus Progesterone,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT06530992,The Effect of Tucking on Semen Quality of Adult Trans Women,OBSERVATIONAL,RECRUITING,2024-07-17,2024-07-31,40,Medical University Innsbruck,tucking break,Austria,False,include,Transgender population and GAHT intervention/exposure identified
NCT03060785,Finding the Right Tenofovir/Emtricitabine Regimen for Pre-Exposure Prophylaxis (PrEP) in Transgender Women,INTERVENTIONAL,COMPLETED,2016-03-08,2017-02-23,16,Johns Hopkins University,Tenofovir Disoproxil Fumarate/Emtricitabine,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT03516747,Preoperational Fine Needle Aspiration of Pathological Parathyroid Gland,INTERVENTIONAL,WITHDRAWN,2018-06-09,2018-05-04,0,"HaEmek Medical Center, Israel",pre operative parathyroid hormone level measurement; pre operative parathyroid cytology; parathyroid hormone level measurement; parathyroid cytology,Israel,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT07624747,Brain Health in Transgender Adults,OBSERVATIONAL,RECRUITING,2025-10-14,2026-06-03,72,"University of Wisconsin, Madison",Magnetic Resonance Imaging; Cognition and Health Tests; Optional Exercise Test,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT06537765,Combined Effect of Therapeutic Ultrasound and Trans Cutaneous Electrical Nerve Stimulation on Endometriosis,INTERVENTIONAL,NOT_YET_RECRUITING,2024-08-10,2024-08-05,45,Cairo University,Medical treatment; Therapeutic ultrasound (US); Transcutaneous electrical nerve stimulation (TENS),,False,exclude,Cisgender/unrelated indication
NCT06581679,Adenomyosis and Pregnancy: Levonorgestrel vs. GnRH for Blastocyst Transfer,INTERVENTIONAL,COMPLETED,2023-12-15,2024-09-03,184,Zagazig University,Triptorelin; levonorgestrel-releasing intrauterine system; frozen embryo transfer,Egypt,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT03637920,Sexuality in Transmen During Hormone and Operative Treatment,OBSERVATIONAL,UNKNOWN,2018-07-30,2018-08-20,160,Medical University of Graz,,Austria,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT05166668,Letrozole /GnRH Antagonist Protocol in Women Over 40 Years Undergoing ICSI Cycle,INTERVENTIONAL,COMPLETED,2021-11-01,2021-12-22,200,Menoufia University,Letrozole 2.5mg tablet,Egypt,False,exclude,Cisgender/unrelated indication
NCT00887380,STARS Breast Trial (Study of Anastrozole and Radiotherapy Sequencing),INTERVENTIONAL,UNKNOWN,2009-09-16,2009-04-24,2023,Trans Tasman Radiation Oncology Group,Pre-radiotherapy commencement of anastrozole; Radiotherapy; Post radiotherapy commencement of anastrozole,Australia; New Zealand,False,exclude,Oncology indication not related to transgender health
NCT04374708,Gender Identity and Own Body Perception,OBSERVATIONAL,TERMINATED,2018-02-22,2020-05-05,132,"University of California, Los Angeles",fMRI,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT02936258,PRostate Evaluation for Clinically Important Disease: MRI vs Standard Evaluation Procedures,INTERVENTIONAL,UNKNOWN,2016-11,2016-10-18,450,Canadian Urology Research Consortium,Standard of Care; MRI; MRI Targeted Biopsy,Canada,False,exclude,Oncology indication not related to transgender health
NCT00684606,Transcervical Foley Catheter With or Without Oxytocin for Induction of Labor,INTERVENTIONAL,UNKNOWN,2008-05,2008-05-26,120,Sheba Medical Center,Oxytocin IV,Israel,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT02983110,Sex Hormone Therapy and Mucosal Tissues,OBSERVATIONAL,COMPLETED,2016-11,2016-12-06,12,"University of North Carolina, Chapel Hill",Anoscopy with Rectal Tissue Sampling; Phlebotomy; Female Genital Tract Sampling,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04478760,Trans & Non-binary Reference Intervals While on Hormone Therapy Study,OBSERVATIONAL,COMPLETED,2021-04-13,2020-07-21,250,King's College Hospital NHS Trust,,United Kingdom,False,include,Transgender population and GAHT intervention/exposure identified
NCT05863676,Ovarian Tissue Cryopreservation in the Setting of Gender-affirming Therapy,OBSERVATIONAL,ACTIVE_NOT_RECRUITING,2020-07-14,2023-05-18,20,University of Pittsburgh,Oophorectomy; Infectious Disease Testing,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT06854965,Cohort Study on Factors Associated with the Evolution of Quality of Life Among Transgender Individuals in the French Population,OBSERVATIONAL,NOT_YET_RECRUITING,2025-02-28,2025-03-03,1500,CNGE Conseil,,France,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06774053,Swiss ProspectivE Cohort of TRAnsgender and Gender Diverse Individuals - The SPECTRA Study,OBSERVATIONAL,RECRUITING,2026-04-20,2025-01-14,600,"University Hospital, Basel, Switzerland",Group A (start of GAHT); Group B (on-going GAHT); Group C (GAS),Switzerland,False,include,Transgender population and GAHT intervention/exposure identified
NCT00544882,A Study to Evaluate Hormone Patterns and Ovarian Follicular Activity With DR-1021,INTERVENTIONAL,COMPLETED,2007-10-31,2007-10-16,61,"Teva Branded Pharmaceutical Products R&D, Inc.",DR-1021; Mircette®; Kariva®,United States,True,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT05787470,State of Hormones Impact Nociceptive Expression,OBSERVATIONAL,RECRUITING,2023-03-01,2023-03-28,120,University of Alabama at Birmingham,Quantative sensory testing; Blood Draw,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT03789331,Anogenital Distance Differences Between Transgender Males and Female Individuals,OBSERVATIONAL,UNKNOWN,2019-04-01,2018-12-28,150,Uludag University,Anogenital distance measurement,Turkey (Türkiye),False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT01354977,Effect of Resveratrol on Age-related Insulin Resistance and Inflammation in Humans,INTERVENTIONAL,COMPLETED,2008-03,2011-05-17,20,Albert Einstein College of Medicine,Resveratrol,United States,True,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT05116293,Effect of Testosterone Treatment on Drug Metabolism and Transport,OBSERVATIONAL,COMPLETED,2021-05-01,2021-11-11,14,University of Washington,Midazolam oral solution; Digoxin Oral Tablet; Acetaminophen Oral Tablet,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT02550431,Trans Health: Evaluation of Markers of Cardio-metabolic Health and Well-being in Transgender Youth,OBSERVATIONAL,COMPLETED,2016-03,2015-09-15,58,"University of Colorado, Denver",,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT06807580,Progesterone in Gender Affirming Hormone Therapy Study,INTERVENTIONAL,RECRUITING,2025-05-12,2025-02-04,40,Emory University,Placebo; Progesterone,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT07699159,Cohort Network for Adolescents and Youth With multipLe Mental Health Conditions,OBSERVATIONAL,RECRUITING,2025-03-04,2026-07-13,1620,Centre for Addiction and Mental Health,,Canada,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT07759518,Letrozole High Dose (10 mg) Compared to Letrozole Low Dose( 5 mg) for Ovarian Stimulation in Infertile Women With Polycystic Ovary Syndrome,INTERVENTIONAL,COMPLETED,2025-02-01,2026-08-12,86,Mst.Sumyara Khatun,Tab.Letrozole 10 mg for 5 days; Tab.Letrozole 5mg for 5 days,Bangladesh,False,exclude,Cisgender/unrelated indication
NCT06391034,"Magnetic Resonance (MR) Imaging With Hyperpolarized 13C-Pyruvate +/- 13C,15N-Urea in Patients With Prostate Cancer",INTERVENTIONAL,RECRUITING,2024-09-24,2024-04-30,161,"Robert Bok, MD, PhD",hyperpolarized pyruvate +/-urea (13C/15N); Non-investigational External beam radiotherapy (EBRT); Radiotherapy (RT); Multi-parametric magnetic resonance imaging (mpMRI); Non-interventional hormone therapy; Prostate Biopsy,United States,False,exclude,Oncology indication not related to transgender health
NCT05934877,ASK-PrEP (Assistance Services Knowledge-PrEP),INTERVENTIONAL,TERMINATED,2023-05-11,2023-07-07,152,"Friends Research Institute, Inc.",PrEP navigation + text messaging; Standard of Care; Contingency Management,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04482374,Puberty Suppression and Cardiometabolic Health,OBSERVATIONAL,RECRUITING,2020-08-10,2020-07-22,30,"University of Colorado, Denver",,United States,False,include,Transgender population and GAHT intervention/exposure identified
