nct_id,final_screening,decision_basis,adjudication_reason,brief_title,study_type,overall_status,start_date,study_first_post_date,registry_last_update_post_date,enrollment,lead_sponsor,interventions,countries,has_results,minimum_age,maximum_age,sex,conditions,flash_triage,flash_confidence,sol_audit
NCT00146146,include,recorded_adjudication,Human confirmation: explicit TGD population; testosterone and its metabolites are directly manipulated and analyzed as gender-affirming hormone treatment variables.,Testosterone and Its Metabolites in GID,INTERVENTIONAL,COMPLETED,2005-05,2005-09-05,2018-03-21,15,Unita Complessa di Ostetricia e Ginecologia,testosterone undecanoate alone; testosterone undecanoate plus letrozole; testosterone undecanoate plus dutasteride,Italy,False,18 Years,45 Years,FEMALE,Transsexualism,likely_include,high,agree_likely_include
NCT01065220,include,recorded_adjudication,Human confirmation: explicit TGD population; brain serotonin-transporter binding is measured before and after sex-steroid hormone therapy.,Sex Steroids and the Serotonin Transporter,INTERVENTIONAL,COMPLETED,2010-02,2010-02-09,2014-01-03,32,Medical University of Vienna,Testolactone undecanoate; Lynestrenol; Cyproterone Acetate; Estradiol; 5-alpha reductase inhibitor,Austria,False,18 Years,55 Years,ALL,Transsexualism,likely_include,high,agree_likely_include
NCT01072825,include,recorded_adjudication,Human confirmation: explicit TGD population; participants are prospectively followed through cross-sex hormone treatment with treatment-related outcomes measured.,A European Network for the Investigation of Gender Incongruence,OBSERVATIONAL,RECRUITING,2010-02-15,2010-02-22,2023-12-11,125,"University Hospital, Ghent",questionnaires; blood sampling; clinical evaluation; Dermatology evaluation; Bone evaluation,Belgium; Italy; Netherlands; Norway,False,18 Years,,ALL,Physical and Psychological Evaluation of Hormonal Therapy in Transsexual Persons,likely_include,high,agree_likely_include
NCT01292785,include,recorded_adjudication,Human confirmation: explicit TGD population; hormone-induced brain changes are measured before and after testosterone/estradiol treatment.,"Effects of Sex Steroid Hormones on Human Brain Function, Structure and Connectivity",OBSERVATIONAL,COMPLETED,2011-01,2011-02-10,2015-04-09,80,Medical University of Vienna,Hormones,Austria,False,18 Years,55 Years,ALL,Gender Identity Disorder,likely_include,high,agree_likely_include
NCT02119377,include,recorded_adjudication,"Human confirmation: explicit TGD population; hormone-therapy use, desire, and uptake are registered study outcomes.",First Australian National Trans Mental Health Study,OBSERVATIONAL,COMPLETED,2013-08,2014-04-21,2014-05-06,946,Curtin University,questionnaire,Australia,False,18 Years,,ALL,Transsexualism,human_review,medium,likely_include
NCT02185274,include,recorded_adjudication,Human confirmation: explicit TGD population; cross-sex hormone treatment effects on metabolic and psychological outcomes are explicit study aims.,Observational Study on Metabolism and Psychopathology in Transsexual Patients,OBSERVATIONAL,COMPLETED,2013-10,2014-07-09,2020-02-25,100,Max-Planck-Institute of Psychiatry,,Germany,False,18 Years,70 Years,ALL,Transsexualism,likely_include,high,agree_likely_include
NCT02229617,include,recorded_adjudication,"Human confirmation: explicit transgender male population; testosterone route, pharmacokinetics, and tolerability are directly compared.",Subcutaneous Testosterone Project,INTERVENTIONAL,COMPLETED,2015-07,2014-09-01,2016-06-06,14,University of British Columbia,Subcutaneous testosterone,Canada,False,19 Years,59 Years,MALE,Gender Dysphoria,likely_include,high,agree_likely_include
NCT02518009,include,recorded_adjudication,Human confirmation: explicit TGD population; participants are followed through testosterone/estrogen treatment with treatment-related physiologic outcomes measured.,GEnder Dysphoria Treatment in Sweden,OBSERVATIONAL,COMPLETED,2015-04,2015-08-07,2022-06-10,40,Karolinska Institutet,Genetic men treated with estrogen; Genetic women treated with androgen,Sweden,False,20 Years,40 Years,ALL,Transsexualism,likely_include,high,agree_likely_include
NCT02550431,include,recorded_adjudication,Human confirmation: explicit transgender youth population; cardiometabolic and body-composition outcomes are evaluated in relation to GAHT.,Trans Health: Evaluation of Markers of Cardio-metabolic Health and Well-being in Transgender Youth,OBSERVATIONAL,COMPLETED,2016-03,2015-09-15,2018-02-05,58,"University of Colorado, Denver",,United States,False,9 Years,21 Years,ALL,Transgendered Persons,likely_include,high,agree_likely_include
NCT02715232,include,recorded_adjudication,Human confirmation: explicit TGD population; brain serotonin outcomes are measured before and after testosterone/feminizing hormone treatment.,Effects of Sex Steroids on the Serotonin System,INTERVENTIONAL,UNKNOWN,2017-02-06,2016-03-22,2018-10-15,92,Medical University of Vienna,Testosterone; Lynestrenol; Cyproterone Acetate; Estradiol; Triptorelin acetate,Austria,False,18 Years,50 Years,ALL,Gender Dysphoria,likely_include,high,agree_likely_include
