nct_id,final_screening,decision_basis,adjudication_reason,brief_title,study_type,overall_status,start_date,study_first_post_date,registry_last_update_post_date,enrollment,lead_sponsor,interventions,countries,has_results,minimum_age,maximum_age,sex,conditions,flash_triage,flash_confidence,sol_audit
NCT00023543,exclude,legacy_recorded_adjudication,Legacy record-level exclusion preserved in ai_triage.csv human_decision_existing; retained explicitly during freeze reconciliation.,Reduction of Triglycerides in Women on Hormone Replacement Therapy,INTERVENTIONAL,COMPLETED,2001-09,2001-09-07,2013-06-19,508,University of Pittsburgh,"Diet, fat-restricted; Exercise",United States,False,52 Years,60 Years,FEMALE,Cardiovascular Diseases; Atherosclerosis; Postmenopause; Heart Diseases,obvious_exclude,high,agree_obvious_exclude
NCT00082082,exclude,legacy_recorded_adjudication,Legacy record-level exclusion preserved in ai_triage.csv human_decision_existing; retained explicitly during freeze reconciliation.,A Trial of Thymalfasin in Adult Patients With Hepatocellular Carcinoma,INTERVENTIONAL,COMPLETED,,2004-04-30,2008-01-15,,SciClone Pharmaceuticals,Thymalfasin (thymosin alpha-1); Trans arterial chemoembolization (TACE),United States,False,18 Years,,ALL,"Carcinoma, Hepatocellular",obvious_exclude,high,agree_obvious_exclude
NCT00146146,include,recorded_adjudication,Human confirmation: explicit TGD population; testosterone and its metabolites are directly manipulated and analyzed as gender-affirming hormone treatment variables.,Testosterone and Its Metabolites in GID,INTERVENTIONAL,COMPLETED,2005-05,2005-09-05,2018-03-21,15,Unita Complessa di Ostetricia e Ginecologia,testosterone undecanoate alone; testosterone undecanoate plus letrozole; testosterone undecanoate plus dutasteride,Italy,False,18 Years,45 Years,FEMALE,Transsexualism,likely_include,high,agree_likely_include
NCT00188708,exclude,legacy_recorded_adjudication,Legacy record-level exclusion preserved in ai_triage.csv human_decision_existing; retained explicitly during freeze reconciliation.,Effect of Casodex on Tumour Hypoxia - Prostate Cancer,INTERVENTIONAL,COMPLETED,2001-04,2005-09-16,2024-03-18,30,"University Health Network, Toronto",hypoxia measurement,Canada,False,18 Years,,MALE,Prostatic Neoplasms,obvious_exclude,high,agree_obvious_exclude
NCT00450749,exclude,legacy_recorded_adjudication,Legacy record-level exclusion preserved in ai_triage.csv human_decision_existing; retained explicitly during freeze reconciliation.,Lycopene in Treating Patients Undergoing Radical Prostatectomy for Prostate Cancer,INTERVENTIONAL,COMPLETED,2008-02,2007-03-22,2019-12-18,10,National Cancer Institute (NCI),placebo; therapeutic conventional surgery; laboratory biomarker analysis; lycopene,United States,True,18 Years,,MALE,Adenocarcinoma of the Prostate; Stage I Prostate Cancer; Stage II Prostate Cancer; Stage III Prostate Cancer,obvious_exclude,high,agree_obvious_exclude
NCT00544882,exclude,legacy_recorded_adjudication,Legacy record-level exclusion preserved in ai_triage.csv human_decision_existing; retained explicitly during freeze reconciliation.,A Study to Evaluate Hormone Patterns and Ovarian Follicular Activity With DR-1021,INTERVENTIONAL,COMPLETED,2007-10-31,2007-10-16,2021-11-18,61,"Teva Branded Pharmaceutical Products R&D, Inc.",DR-1021; Mircette®; Kariva®,United States,True,18 Years,35 Years,FEMALE,Healthy,obvious_exclude,high,agree_obvious_exclude
NCT00608400,exclude,legacy_recorded_adjudication,Legacy record-level exclusion preserved in ai_triage.csv human_decision_existing; retained explicitly during freeze reconciliation.,Effect of Dietary Conjugated Linoleic Acid (CLA) on Parathyroid Hormone in Men,INTERVENTIONAL,COMPLETED,2008-12,2008-02-06,2012-03-02,55,McGill University,Clarinol CLA,Canada,False,19 Years,53 Years,MALE,Healthy,obvious_exclude,high,agree_obvious_exclude
NCT00668603,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Comparison of Vascular Findings Between Symptomatic and Asymptomatic Postmenopausal Women Before and During Hormone Therapy (HRT),INTERVENTIONAL,COMPLETED,2005-08,2008-04-29,2016-02-19,160,University of Helsinki,17-b-estradiol; 17-b-estradiol + medroxyprogeterone acetate; 17-b-estradiol hemihydrate; placebo pill + gel,Finland,False,48 Years,55 Years,FEMALE,Postmenopausal Vasomotor Symptoms; Cardiovascular Disease,obvious_exclude,high,
NCT00684606,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Transcervical Foley Catheter With or Without Oxytocin for Induction of Labor,INTERVENTIONAL,UNKNOWN,2008-05,2008-05-26,2008-06-19,120,Sheba Medical Center,Oxytocin IV,Israel,False,15 Years,50 Years,FEMALE,Pregnancy; Induction of Labor,obvious_exclude,high,
NCT00705796,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Influence of Administration Route of Testosterone on Male Fertility,INTERVENTIONAL,WITHDRAWN,,2008-06-26,2018-03-13,0,Acerus Pharmaceuticals Corporation,"MPP10, testosterone; Testosterone",Netherlands,False,50 Years,80 Years,MALE,Hypogonadism,obvious_exclude,high,
NCT00711607,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,"A Trial to Assess the Pharmacokinetic Profile (e.g., Uptake, Distribution and Excretion of a Substance in the Body) of Nomegestrol Acetate (NOMAC), Estradiol (E2) and Estrone (E1) After Multiple and Single Dose Administration of the Combined Oral Contraception NOMAC-E2 (COMPLETED)(P05822)",INTERVENTIONAL,COMPLETED,2007-05-01,2008-07-09,2022-02-03,25,Organon and Co,nomegestrol acetate and estradiol,,False,18 Years,50 Years,FEMALE,Healthy,obvious_exclude,high,
NCT00766857,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Effects of Exenatide in Type 2 Diabetic Patients With Congestive Heart Failure,INTERVENTIONAL,COMPLETED,2009-05,2008-10-06,2015-12-09,27,"Amsterdam UMC, location VUmc",exenatide; Insulin glargine,Netherlands,False,18 Years,,ALL,Type 2 Diabetes Mellitus; Congestive Heart Failure,obvious_exclude,high,
NCT00789607,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Fiducial Localization and Individualized Radiotherapy -Prostate Cancer,INTERVENTIONAL,COMPLETED,2008-06,2008-11-13,2024-03-18,17,"University Health Network, Toronto",Transrectal APT Device or Transperineal Device will be used; TRUS probe,Canada,False,18 Years,,MALE,Prostate Cancer,obvious_exclude,high,
NCT00805701,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Study Assessing The Efficacy And Safety Of Avodart (Dutasteride) At Improving Urinary Symptoms In Men With Prostate Cancer Who Are Undergoing Seed Implantation,INTERVENTIONAL,COMPLETED,2009-01,2008-12-10,2014-05-14,40,"Bay State Clinical Trials, Inc.",avodart; Placebo,United States,False,35 Years,90 Years,MALE,Prostate Cancer,obvious_exclude,high,
NCT00831233,exclude,validated_obvious_exclude_stratum,No individual adjudication recorded; retained as an obvious exclude after the predefined Sol audit and 25-study low-priority QC sample showed no obvious-exclude reversals.,Symptomatic Study Investigating Degarelix in Patients Suffering From Prostate Cancer,INTERVENTIONAL,TERMINATED,2009-04,2009-01-28,2013-11-11,42,Ferring Pharmaceuticals,Degarelix; Goserelin; Bicalutamide,Germany; Spain; United Kingdom,True,18 Years,,MALE,Prostate Cancer,obvious_exclude,high,
