nct_id,brief_title,study_type,overall_status,conditions,brief_summary,interventions,study_population,eligibility_text,primary_outcomes,legacy_preliminary_screening,legacy_screening_reason,preliminary_screening,screening_reason,preliminary_screening_basis,human_screening,human_screening_reason
NCT00023543,Reduction of Triglycerides in Women on Hormone Replacement Therapy,INTERVENTIONAL,COMPLETED,Cardiovascular Diseases; Atherosclerosis; Postmenopause; Heart Diseases,The purpose of this study is to test the effect of lifestyle intervention on subclinical cardiovascular disease measures in women taking hormone replacement therapy (HRT).,"BEHAVIORAL: Diet, fat-restricted — Reduction in total, saturated, trans fat, cholesterol, calories. Increase in fiber. Promotion of nutrient-dense, high-volume, low calorie foods.; BEHAVIORAL: Exercise — Rigorous, stepped care approach to reach 150 min/week of physical activity.",,Inclusion Criteria: * On HRT for at least two years * Women 52 to 60 years of age * Three or more years postmenopausal * Waist circumference greater than 80 cm * LDLc between 100 and 160 mg/dl * Body mass index 25-39.9 kg/m2 * Blood Pressure less than 160/95 mm Hg * Beck Depression Inventory Score less than 20 Exclusion Criteria: * Current use of cholesterol-lowering medication * Diagnosis of diabetes * On diabetes medication,Measures of subclinical disease | 5 years; Change in coronary calcium (EBCT) | 5 years; Change in carotid intima media wall thickness | 5 years; Change in vascular stiffness (PWV) | 5 years,exclude,Cisgender/unrelated indication,exclude,Unverified legacy keyword heuristic: Cisgender/unrelated indication,legacy_keyword_heuristic_unverified,,
NCT00082082,A Trial of Thymalfasin in Adult Patients With Hepatocellular Carcinoma,INTERVENTIONAL,COMPLETED,"Carcinoma, Hepatocellular",The objective of this Phase II trial is to compare the efficacy and safety of 6 months of treatment with thymalfasin plus trans arterial chemoembolization (TACE) with TACE alone in adult patients with non-surgical hepatocellular carcinoma (HCC).,DRUG: Thymalfasin (thymosin alpha-1); PROCEDURE: Trans arterial chemoembolization (TACE),,"Inclusion Criteria: * Signed written informed consent. * Diagnosis of HCC by: 1. Presence of HCC on biopsy (core biopsy), or, if biopsy is strongly contra-indicated due to safety or patient-related concerns, then the diagnosis of HCC can be determined by: 2. A new hepatic defect on imaging with an AFP \> 1000 ng/ml, or 3. A new hepatic defect on ultrasound or CT with an AFP \< 1000 ng/ml when one of the following is present: 1. At least two additional imaging techniques show signs characteristic of HCC, or 2. The new hepatic defect has doubled in diameter over time, or 3. The AFP has progressively risen to \> 200 ng/ml and triples the mean baseline. * HCC must be unresectable and non-transplantable. * Hematocrit \> 30%, platelet count \>= 50,000 per microliter, WBC \> 2.0 x 109/L, and polymorphonuclear white cell count \>= 1.0 x 109/L. * Adequate renal function as demonstrated by serum creatinine level \< 1.5 mg/dl. * If the patient is a woman, she is using a definitive method of birth control in consultation with her physician, or is surgically sterile or post-menopausal. Exclusion Criteria: * Concomitant chronic use of any drug known to be hepatotoxic, or of any immunosuppressive drug (Use of oral contraceptives will not exclude an otherwise eligible patient). * Presence of main portal vein thrombosis or hepatic artery malformation. * HCC amenable to treatment by surgical resection or hepatic transplantation. * HIV infection diagnosed by HIV seropositivity and confirmed by Western blot. * Concomitant or prior history of malignancy other than HCC within the last 10 years, except for curatively treated skin cancer or surgically cured in situ carcinoma of the cervix. * Active infectious process that is not of a self-limiting nature. TB and AIDS are examples of infectious processes that are not of a self-limiting nature. * Pregnancy as documented by a urine pregnancy test. Women with reproductive potential must agree to practice an adequate method of birth control for the duration of the study. * Alcohol or intravenous drug abuse within the previous 1 year. * Previous treatment with thymalfasin. * Patients with known hypersensitivity to iodine. * Simultaneous participation in another investigational drug study, or participation in any clinical trial involving investigational drugs within 30 days of study entry.",,exclude,Does not explicitly meet both criteria (Trans population + GAHT),exclude,Unverified legacy keyword heuristic: Does not explicitly meet both criteria (Trans population + GAHT),legacy_keyword_heuristic_unverified,,
NCT00146146,Testosterone and Its Metabolites in GID,INTERVENTIONAL,COMPLETED,Transsexualism,"The purposes of this study are: * to determine the role of testosterone versus dihydrotestosterone with respect to the following physiological functions: bone metabolism, body composition, insulin resistance and lipid profile * to determine the role of testosterone and dihydrotestosterone versus estradiol with respect to the following physiological functions: bone metabolism, body composition, insulin resistance and lipid profile",DRUG: testosterone undecanoate alone — 1000 mg/12 weeks; DRUG: testosterone undecanoate plus letrozole — TU 1000 mg/12 weeks Letrozole 2.5 mg/day; DRUG: testosterone undecanoate plus dutasteride — TU 1000 mg/12weeks Dutasteride 0.5 mg/day,,"Inclusion Criteria: Healthy biological females, between 18 and 45 years of age: * SR surgery performed * Body Mass Index (BMI) between 20 and 29 kg/m²; (body weight in kilograms divided by body height in meters squared) * Clinical examination without pathological findings relevant to the study * Clinico-chemical laboratory values do not suggest an illness * Written Consent Form has been signed * High probability of a good compliance and termination of the study Exclusion Criteria: Subjects cannot be enrolled in this study if one or more of the following criteria apply: * Participation in another clinical trial within the 30 days preceding the first administration * Simultaneous participation in another clinical trial * Subjects institutionalized or imprisoned by order of the court * Subject who compete in sports which use IOC drug monitoring * Serious organic or psychic disease suspected from history and/or clinical examination * Diseases (especially tumors) that might represent an actual contraindication for testosterone * Past or present history of thrombotic or embolic diseases * Hypertension requiring therapy (BP 140/90 mmHg) * Diabetes mellitus requiring therapy * Acute or chronic hepatic diseases * Manifest renal diseases with renal dysfunction * Severe internal diseases as well as use of any medication to treat such * Biochemical and/or hematological laboratory values beyond normal ranges unless the Investigator confirms that the deviations are of no clinical relevance * Any indication of chronic use of drugs, alcohol, opiates or recreational drugs * Use of any drug known to affect biotransformation of testosterone and/or progestin, e.g. chlorcycline, phenobarbital, phenylbutazone, aminophenazone within the 30 days preceding the first administration of the test medication and during the study * Use of oral anticoagulatory drugs within the 30 days preceding the first administration of the test medication and during the study * Any oral or transdermal hormone medication within the 12 weeks preceding the first administration and during the study * Probability of poor compliance and termination of the study",bone metabolism | baseline and end of the study; insulin resistance | baseline and end of the study; lipid profile | baseline and end of the study,include,Transgender population and GAHT intervention/exposure identified,include,Unverified legacy keyword heuristic: Transgender population and GAHT intervention/exposure identified,legacy_keyword_heuristic_unverified,,
NCT00188708,Effect of Casodex on Tumour Hypoxia - Prostate Cancer,INTERVENTIONAL,COMPLETED,Prostatic Neoplasms,"Prostate cancers, in common with many other tumours, are often hypoxic; that is, they have low levels of oxygen. It is thought that tumour hypoxia may hasten the progression of cancers and make them more resistant to treatment. One previous study has suggested that hormone therapy, such as Casodex, may improve the prostate oxygen level. This study is designed to test that finding.",PROCEDURE: hypoxia measurement — transrectal oxygen measurement,,"Inclusion Criteria: * Men with histologically proven prostatic carcinoma, stage cT2, N0, M0, receiving neoadjuvant bicalutamide plus conformal radiotherapy in study 9907, who have previously participated in the prostate cancer hypoxia project * informed consent Exclusion Criteria: * Coagulopathy",To determine the effect of neoadjuvant anti-androgen therapy on oxygenation of prostatic tumours | 8 weeks | Trans-rectal ultrasound and measurement of tumor oxygenation; Correlate level of tumor oxygenation with PSA level | 8 weeks | PSA test (ug/L); Correlate level of tumor oxygenation with hemoglobin level | 8 weeks | hemoglobin test (g/L); Correlate level of tumor oxygenation with prostate volume | 8 weeks | prostate volume measurement,exclude,Oncology indication not related to transgender health,exclude,Unverified legacy keyword heuristic: Oncology indication not related to transgender health,legacy_keyword_heuristic_unverified,,
NCT00450749,Lycopene in Treating Patients Undergoing Radical Prostatectomy for Prostate Cancer,INTERVENTIONAL,COMPLETED,Adenocarcinoma of the Prostate; Stage I Prostate Cancer; Stage II Prostate Cancer; Stage III Prostate Cancer,"This randomized phase II trial studies how well different doses of lycopene work in treating patients undergoing radical prostatectomy for prostate cancer. The use of lycopene, a substance found in tomatoes, may keep prostate cancer from growing or coming back after surgery.",OTHER: placebo — Given PO; PROCEDURE: therapeutic conventional surgery — Undergo radical prostatectomy; OTHER: laboratory biomarker analysis — Correlative studies; DRUG: lycopene — Given PO,,"Criteria: * Creatinine normal * Biopsy-confirmed adenocarcinoma of the prostate * Localized disease * Planned radical prostatectomy * ECOG performance status (PS) 0-2 OR Karnofsky PS 60-100% * WBC \>= 3,000/mm\^3 * Platelet count \>= 100,000/mm\^3 * Bilirubin normal * AST and ALT =\< 2.5 times upper limit of normal * Fertile patients must use effective barrier contraception * No other invasive cancer (except nonmelanoma skin cancer) within the past 2 years * Patients who received curative treatment and have shown no evidence of recurrence within the past 2 years are eligible * No history of allergic reactions attributed to compounds of similar chemical or biological composition to lycopene (e.g., other carotenoids, including lutein and beta-carotene) * More than 30 days since prior regular (\> once weekly) lycopene supplementation (\>= 15 mg/day) and meets the following criteria: no more than 2 servings of tomato sauce, juice, or soup per week; no more than 4 servings of grapefruit, raw tomato, or watermelon per week * Must not consume 1 serving of tomato sauce, juice, or soup per week AND more than 2 servings of grapefruit, raw tomato, or watermelon per week * More than 30 days since prior and no concurrent investigational medication * No concurrent chemotherapy, radiotherapy, hormonal therapy, or immunotherapy * No history of allergy to foods containing lycopene (e.g., tomatoes or tomato products, watermelon, guava, and pink grapefruit) * No concurrent uncontrolled illness including, but not limited to, any of the following: ongoing or active infection; symptomatic congestive heart failure; unstable angina pectoris; cardiac arrhythmia; psychiatric illness/social situations that would limit compliance with study requirements * No prior therapy for prostate cancer, including radiotherapy to the prostate or pelvis, androgen ablation, or antiandrogen systemic therapy * No other concurrent lycopene (\>= 15 mg/day)","Concentration of Lycopene in Prostatic Surgical Tissue | At 4-7 weeks | Total tissue lycopene concentrations in radical prostatectomy specimens in participants receiving 6 weeks (± 1 week) of preoperative supplementation with 60 mg/day lycopene, 30 mg/day lycopene, or placebo. Concentration of lycopene in prostatic surgical tissue calculated using the high-performance liquid chromatography (HPLC) method.; Serum Levels (ug/dL) of Total Lycopene at Baseline and During Treatment by Group | Baseline and weeks 4 and 7 | Serum levels (ug/dL) of total lycopene at baseline and during treatment by group were measured.",exclude,Oncology indication not related to transgender health,exclude,Unverified legacy keyword heuristic: Oncology indication not related to transgender health,legacy_keyword_heuristic_unverified,,
NCT00544882,A Study to Evaluate Hormone Patterns and Ovarian Follicular Activity With DR-1021,INTERVENTIONAL,COMPLETED,Healthy,This is a multi-center study to evaluate hormone levels with the oral contraceptive regimen DR-1021.,DRUG: DR-1021 — Twenty-one 150 μg desogestrel/20 μg ethinyl estradiol (EE) combination tablets plus seven 10 μg EE tablets.; DRUG: Mircette® — Twenty-one 150 μg desogestrel/20 μg ethinyl estradiol (EE) combination tablets plus two placebo tablets plus five 10 μg EE tablets.; DRUG: Kariva® — Twenty-one 150 μg desogestrel/20 μg ethinyl estradiol (EE) combination tablets plus two placebo tablets plus five 10 μg EE tablets.,,"Inclusion Criteria: * Premenopausal * Weight \<200 lbs * Currently taking or willing to be treated with an oral contraceptive with a standard 21/7 regimen for one cycle prior to starting Study Cycle 1 * Others as dictated by protocol Exclusion Criteria: * Any contraindication to the use of oral contraceptives * Breast feeding * Smoking \> 10 cigarettes per day * Use of drugs that require simultaneous use of contraceptives (e.g., isotretinoin \[Accutane\]) * Others as dictated by protocol","Serum Estradiol Levels by Cycle Day | Cycle 2, Day 2 (Baseline), and Days 4, 6, 19-20, 23, 24, 25, 27, 28, Cycle 3, Days 2, 4 and 6. | Levels of estradiol were measured throughout the study from blood samples.; Serum Follicle Stimulating Hormone (FSH) Levels by Cycle Day | Cycle 2, Day 2 (Baseline), and Days 4, 6, 19-20, 23, 24, 25, 27, 28, Cycle 3, Days 2, 4 and 6. | Levels of follicle stimulating hormone were measured throughout the study from blood samples.; Serum Inhibin-B Levels by Cycle Day | Cycle 2, Day 2 (Baseline), and Days 4, 6, 19-20, 23, 24, 25, 27, 28, Cycle 3, Days 2, 4 and 6. | Levels of inhibin-B were measured throughout the study from blood samples.",exclude,Does not explicitly meet both criteria (Trans population + GAHT),exclude,Unverified legacy keyword heuristic: Does not explicitly meet both criteria (Trans population + GAHT),legacy_keyword_heuristic_unverified,,
NCT00608400,Effect of Dietary Conjugated Linoleic Acid (CLA) on Parathyroid Hormone in Men,INTERVENTIONAL,COMPLETED,Healthy,"The parathyroid gland and its hormone have a major impact on the endocrine control of bone metabolism and mineralization and parathyroid hormone (PTH) has been identified in some epidemiological reports to relate adversely to mortality. Previously, the applicant has demonstrated in two models that dietary cis-9, trans-11 conjugated linoleic acid (CLA) reduces PTH by over 30% in as little as 4 weeks in male rats without adversely affecting bone density. Both bioactive PTH and intact PTH assays have been used and both are reduced by CLA. In one rat model, rats had normal PTH and a sub-group had high PTH due to chronic renal disease. In the second study, the rats were healthy young males and females. Regardless of the model and health state, PTH was reduced 30 to 40% by CLA. Of interest, other isoforms of CLA such as trans-10, cis-12 CLA do not alone result in reduced PTH. The selected CLA isomer proven to reduce PTH, cis-9, trans 11 CLA, is common to food products such as milk fat and beef and is thus more physiologically relevant to the human diet. The global objective of this study is to, for the first time; assess the effects of CLA on PTH in humans, specifically men. Healthy men 19-53 years of age are selected since bone mass will have reached a peak by this age. Beginning with healthy relatively young men is important versus aging or ill individuals since the effect of CLA on PTH has not been examined and aging and illness might confound the results. Subjects will be recruited using posters and local newspaper advertisements from the general population. Men (n=30/group) with healthy weights will be randomized to receive 0, 1.5 or 3 g CLA/d for a period of 4 months. At baseline, body weight will be assessed along with whole body bone, lean and fat mass using dual energy x-ray absorptiometry (DXA). Regional bone mass (lumbar spine, total hip, femoral neck) will also be examined using DXA. A blood sample will be taken in the fasted state between 9:00 and 10:00 to examine PTH, ionized Ca, and biomarkers of bone metabolism. After each 1 month on the study, the measurements will be repeated until end of study. Dietary intake will be monitored along with a survey for possible mild side-effects such as gastrointestinal discomfort. Data will be examined using a mixed model for random (age, weight, vitamin D status) and fixed effects (diet, time) with post-hoc comparisons using Bonferroni correction.","DIETARY_SUPPLEMENT: Clarinol CLA — 0, 1.5 or 3.0 g/d dietary conjugated linoleic acids glycerides for 4 months, capsule form",,Inclusion Criteria: The sample size will be 90 healthy men (n=30/group) based on the following inclusion criteria: * Healthy body weight based on body mass index (18.5 - 25 kg/m2 as per Health Canada * No chronic diseases * Normal bone mass for age (ie Z-score better than -1 where reference data available) * Vitamin D status within optimal range based on serum 25(OH)D (between 50 and 80 nmol/L of serum 25(OH)D with a median threshold of 75 nmol/L as set by international experts.,Parathyroid Hormone | 4 months,exclude,Does not explicitly meet both criteria (Trans population + GAHT),exclude,Unverified legacy keyword heuristic: Does not explicitly meet both criteria (Trans population + GAHT),legacy_keyword_heuristic_unverified,,
NCT00668603,Comparison of Vascular Findings Between Symptomatic and Asymptomatic Postmenopausal Women Before and During Hormone Therapy (HRT),INTERVENTIONAL,COMPLETED,Postmenopausal Vasomotor Symptoms; Cardiovascular Disease,"Recent large randomized, placebo-controlled studies assessing the health effects of HT question the overall benefits of long term HT, especially with respect to cardiovascular disease. However, recently menopausal women with severe hot flushes were mostly excluded from these trials. This was unfortunate since vasomotor symptoms may reflect different vascular sensitivity to estrogen or its deficiency, and therefore, the vascular responses to HT in women with and without hot flushes can differ. Aims of the present project are 1. to compare vascular, cardiac and sympathetic function in recently menopausal women with or without severe vasomotor symptoms 2. in a randomized placebo controlled clinical trial investigate vascular response to oral and trans-dermal HT.",DRUG: 17-b-estradiol — 2mg oral daily for 6 months; DRUG: 17-b-estradiol + medroxyprogeterone acetate — 2mg E2 + 5mg MPA daily for 6 months; DRUG: 17-b-estradiol hemihydrate — 1 mg skin gel daily for 6 months; DRUG: placebo pill + gel — placebo daily for 6 months,,Inclusion Criteria: * Postmenopausal women between ages 48-55 * Minimum of 6 months and maximum of 36 months from last menstrual period * Postmenopausal status of these women will be confirmed by level of FSH that should exceed 30 U/l * Eighty women must have severe vasomotor symptoms (at least seven severe or moderate hot flush attacks per day) whereas eighty comparators must be symptomless Exclusion Criteria: * smoking * hysterectomy * dyslipidemia * overt hypertension (blood pressure \> 140/90) * diabetes * any regular medication * HT in the previous 3 months * body mass index over 27,Vascular function | 0 and 6 months,exclude,Cisgender/unrelated indication,exclude,Unverified legacy keyword heuristic: Cisgender/unrelated indication,legacy_keyword_heuristic_unverified,,
NCT00684606,Transcervical Foley Catheter With or Without Oxytocin for Induction of Labor,INTERVENTIONAL,UNKNOWN,Pregnancy; Induction of Labor,The purpose of the present study is to evaluate the possible benefit of concurrent IV Oxytocin infusion with trans cervical Foley catheter for pre-induction cervical ripening.,DRUG: Oxytocin IV — 5 miu/1000ml Glu/Saline,,Inclusion Criteria: * Term pregnancy * Medical indication for labor induction by transcervical Foley catheter Exclusion Criteria: * Preterm pregnancy * Contraindication for induction of labor by transcervical Foley catheter or by IV Oxytocin: * Uterine scar * Multiple pregnancy * PROM * Grand-multiparity * Placenta previa or marginal placenta * Spontaneous uterine contractions (more than 3 in 10 minutes) * Vaginal bleeding * Nonreassuring fetal heart rate,The period of time needed for ripening the uterine cervix by Transcervical Foley catheter with or without IV Oxytocin infusion. | year,exclude,Does not explicitly meet both criteria (Trans population + GAHT),exclude,Unverified legacy keyword heuristic: Does not explicitly meet both criteria (Trans population + GAHT),legacy_keyword_heuristic_unverified,,
NCT00705796,Influence of Administration Route of Testosterone on Male Fertility,INTERVENTIONAL,WITHDRAWN,Hypogonadism,"Exogenously administered testosterone will override the normal negative feedback of endogenous testosterone on the hypothalamus and pituitary. Constantly, relatively high and constant testosterone levels will cause a drop in FSH and LH production by the pituitary. Since FSH and LH are signalling hormones to the testes, endogenous testosterone production and spermatogenesis will be down-regulated. It is expected that intranasal dosing in the morning will mimic the normal physiological pattern of testosterone production thereby avoiding negative side-effects on spermatogenesis. Trans-dermal gels give testosterone levels more or less constant over the day and will very likely have inhibitory effects on spermatogenesis. The main objective of this study is to show that twice daily intranasal dosing does not have, or has a smaller inhibitory effect on spermatogenesis in comparison to transdermal testosterone gels.","DRUG: MPP10, testosterone — Testosterone intranasal, 7.6 mg, twice daily to be taken immediately after waking up and washing/showering (approx. 7:00-8:00 AM) and at lunch time (approx. 12:00 AM).; DRUG: Testosterone — AndroGel® 50 mg, once daily in the morning after washing/showering.",,"Inclusion Criteria: * Age greater than or equal to 50 years but not older than 80 years of age; * Serum testosterone level \<13.8 nmol/l; * Sperm concentration \> 40 Million/ml; * Willing to give written informed consent. Exclusion Criteria: * Testicular diseases or having had any surgical procedures applied to the testes; * History or currently existing serious disease of any type, in particular liver, kidney or heart disease, any form of diabetes mellitus, cancer or psychiatric illness; * Current androgen, anabolic steroid or sex hormone treatment or any treatment with such compounds in the previous 6 months; * Blood donation within the 12-week period before the initial study dose. * History of, or current nasal disorders (e.g. seasonal or perennial allergic rhinitis, atrophic rhinitis, polyposis, abuse of nasal decongestants, clinically relevant nasal septum deviation, recurrent epistaxis) or sleep apnea; * Elevated serum PSA levels (\> 4 ng/ml for subjects \>= 50 years of age);",The main study parameter is the change in sperm concentration during the 4-month study period for each of the two treatment groups. | 4 months,exclude,Does not explicitly meet both criteria (Trans population + GAHT),exclude,Unverified legacy keyword heuristic: Does not explicitly meet both criteria (Trans population + GAHT),legacy_keyword_heuristic_unverified,,
